-183.068, 74.528, 2.150,  3.448
-183.056, 74.458, 2.156,  3.481
-183.045, 74.386, 2.162,  3.514
-183.033, 74.315, 2.168,  3.547
-183.021, 74.244, 2.173,  3.580
-183.010, 74.172, 2.180,  3.613
-182.998, 74.100, 2.187,  3.646
-182.986, 74.028, 2.192,  3.679
-182.974, 73.956, 2.198,  3.712
-182.962, 73.883, 2.204,  3.745
-182.950, 73.811, 2.211,  3.778
-182.938, 73.738, 2.217,  3.811
-182.926, 73.665, 2.222,  3.844
-182.914, 73.592, 2.229,  3.877
-182.902, 73.518, 2.236,  3.910
-182.890, 73.444, 2.242,  3.943
-182.878, 73.370, 2.248,  3.976
-182.866, 73.296, 2.255,  4.009
-182.854, 73.222, 2.262,  4.042
-182.841, 73.147, 2.268,  4.075
-182.829, 73.073, 2.275,  4.108
-182.817, 72.998, 2.281,  4.141
-182.805, 72.922, 2.288,  4.174
-182.792, 72.847, 2.295,  4.207
-182.780, 72.771, 2.301,  4.240
-182.768, 72.695, 2.308,  4.273
-182.756, 72.619, 2.315,  4.306
-182.743, 72.543, 2.322,  4.339
-182.731, 72.466, 2.329,  4.372
-182.718, 72.390, 2.335,  4.405
-182.706, 72.313, 2.342,  4.438
-182.694, 72.235, 2.349,  4.471
-182.681, 72.158, 2.357,  4.504
-182.669, 72.080, 2.364,  4.537
-182.656, 72.002, 2.371,  4.570
